date,fill_pct,fill_sim,model
2000-01-01,,,ridge
2000-02-01,,,ridge
2000-03-01,,,ridge
2000-04-01,,,ridge
2000-05-01,,,ridge
2000-06-01,,,ridge
2000-07-01,,,ridge
2000-08-01,,,ridge
2000-09-01,,,ridge
2000-10-01,56.29623342845396,56.29623342845396,ridge
2000-11-01,53.583969025908964,53.583969025908964,ridge
2000-12-01,53.161666248341945,53.161666248341945,ridge
2001-01-01,56.30473049840498,56.30473049840498,ridge
2001-02-01,67.27838885087417,67.27838885087417,ridge
2001-03-01,72.28624690072373,72.28624690072373,ridge
2001-04-01,71.79724304032047,71.79724304032047,ridge
2001-05-01,69.60386688814847,69.60386688814847,ridge
2001-06-01,63.062401569579464,63.062401569579464,ridge
2001-07-01,55.387366469440636,55.387366469440636,ridge
2001-08-01,48.17207121659824,48.17207121659824,ridge
2001-09-01,42.710076220746664,42.710076220746664,ridge
2001-10-01,37.54964519891145,37.54964519891145,ridge
2001-11-01,33.70842197479982,33.70842197479982,ridge
2001-12-01,65.04497229640167,65.04497229640167,ridge
2002-01-01,91.95981713697928,91.95981713697928,ridge
2002-02-01,92.70461643661102,92.70461643661102,ridge
2002-03-01,92.4969858621296,92.4969858621296,ridge
2002-04-01,94.62489038656136,94.62489038656136,ridge
2002-05-01,91.08792475246332,91.08792475246332,ridge
2002-06-01,85.69909836422785,85.69909836422785,ridge
2002-07-01,78.67092064134287,78.67092064134287,ridge
2002-08-01,72.37684026538786,72.37684026538786,ridge
2002-09-01,69.59809516512865,69.59809516512865,ridge
2002-10-01,67.38266071074744,67.38266071074744,ridge
2002-11-01,66.89821885045271,66.89821885045271,ridge
2002-12-01,69.11988347841299,69.11988347841299,ridge
2003-01-01,73.78802566235588,73.78802566235588,ridge
2003-02-01,87.43484538293707,87.43484538293707,ridge
2003-03-01,97.13909790174654,97.13909790174654,ridge
2003-04-01,99.42354114140306,99.42354114140306,ridge
2003-05-01,97.35132912139696,97.35132912139696,ridge
2003-06-01,91.40412612464596,91.40412612464596,ridge
2003-07-01,83.16790057533456,83.16790057533456,ridge
2003-08-01,74.57733705338609,74.57733705338609,ridge
2003-09-01,67.26607708604242,67.26607708604242,ridge
2003-10-01,61.781295122954475,61.781295122954475,ridge
2003-11-01,63.44144608601313,63.44144608601313,ridge
2003-12-01,65.96023826168359,65.96023826168359,ridge
2004-01-01,79.60695491391313,79.60695491391313,ridge
2004-02-01,94.66522815096393,94.66522815096393,ridge
2004-03-01,97.41241602258276,97.41241602258276,ridge
2004-04-01,97.554902559012,97.554902559012,ridge
2004-05-01,93.22774143491152,93.22774143491152,ridge
2004-06-01,87.35259269108224,87.35259269108224,ridge
2004-07-01,80.75663583170602,80.75663583170602,ridge
2004-08-01,72.4999749312758,72.4999749312758,ridge
2004-09-01,62.997207129256324,62.997207129256324,ridge
2004-10-01,56.98365455893174,56.98365455893174,ridge
2004-11-01,50.67614510740016,50.67614510740016,ridge
2004-12-01,46.12488097908149,46.12488097908149,ridge
2005-01-01,46.649415879945735,46.649415879945735,ridge
2005-02-01,72.67873543176336,72.67873543176336,ridge
2005-03-01,92.83675555280342,92.83675555280342,ridge
2005-04-01,92.3314913599086,92.3314913599086,ridge
2005-05-01,87.72005808496772,87.72005808496772,ridge
2005-06-01,83.30856996664721,83.30856996664721,ridge
2005-07-01,76.62471023265086,76.62471023265086,ridge
2005-08-01,68.29370850972742,68.29370850972742,ridge
2005-09-01,60.689316858589216,60.689316858589216,ridge
2005-10-01,54.386664659924136,54.386664659924136,ridge
2005-11-01,51.34208641933156,51.34208641933156,ridge
2005-12-01,61.27785193254995,61.27785193254995,ridge
2006-01-01,82.69170171062957,82.69170171062957,ridge
2006-02-01,95.6584557423636,95.6584557423636,ridge
2006-03-01,98.48547327354143,98.48547327354143,ridge
2006-04-01,97.66111122123422,97.66111122123422,ridge
2006-05-01,93.18469613010627,93.18469613010627,ridge
2006-06-01,86.70498312311138,86.70498312311138,ridge
2006-07-01,79.39792747961253,79.39792747961253,ridge
2006-08-01,70.12251180123494,70.12251180123494,ridge
2006-09-01,61.63285817074302,61.63285817074302,ridge
2006-10-01,56.5782061517498,56.5782061517498,ridge
2006-11-01,60.387160047645,60.387160047645,ridge
2006-12-01,57.85200127385891,57.85200127385891,ridge
2007-01-01,55.83996804358594,55.83996804358594,ridge
2007-02-01,55.324987088008626,55.324987088008626,ridge
2007-03-01,54.061102705233054,54.061102705233054,ridge
2007-04-01,52.3468967329441,52.3468967329441,ridge
2007-05-01,47.14705508297642,47.14705508297642,ridge
2007-06-01,40.50675206260383,40.50675206260383,ridge
2007-07-01,32.34161410303975,32.34161410303975,ridge
2007-08-01,24.66282887521013,24.66282887521013,ridge
2007-09-01,17.88258326263159,17.88258326263159,ridge
2007-10-01,12.23047131005684,12.23047131005684,ridge
2007-11-01,13.87606496923465,13.87606496923465,ridge
2007-12-01,23.65764081726557,23.65764081726557,ridge
2008-01-01,25.756726057643846,25.756726057643846,ridge
2008-02-01,29.3675860346163,29.3675860346163,ridge
2008-03-01,38.78194402739551,38.78194402739551,ridge
2008-04-01,43.42017956569943,43.42017956569943,ridge
2008-05-01,41.27288026854298,41.27288026854298,ridge
2008-06-01,36.24468497138959,36.24468497138959,ridge
2008-07-01,30.025074307706262,30.025074307706262,ridge
2008-08-01,23.53634948017167,23.53634948017167,ridge
2008-09-01,18.1744028638732,18.1744028638732,ridge
2008-10-01,24.88999242160281,24.88999242160281,ridge
2008-11-01,27.450132906553122,27.450132906553122,ridge
2008-12-01,29.082517854148136,29.082517854148136,ridge
2009-01-01,45.499496982325084,45.499496982325084,ridge
2009-02-01,63.055339648807674,63.055339648807674,ridge
2009-03-01,88.02297176449161,88.02297176449161,ridge
2009-04-01,97.11233014844072,97.11233014844072,ridge
